Country,Year,ImportValue,TimelinessScore,RiskPremium,t_value,RAIV
Afghanistan,2022,65.404,2.3,0.075,0,150.42919999999998
Afghanistan,2023,19.785,2.3,0.075,1,42.3306976744186
Afghanistan,2024,4.872,2.3,0.075,2,9.696571119524068
Albania,2022,33.305,2.5,0.075,0,83.2625
Albania,2023,163.561,2.5,0.075,1,380.3744186046512
Albania,2024,55.561,2.5,0.075,2,120.1968631692807
Algeria,2022,2.141,2.6,0.075,0,5.5666
Algeria,2024,14.613,2.6,0.075,2,32.8772742022715
Antigua and Barbuda,2022,8.148,3.4,0.06,0,27.7032
Antigua and Barbuda,2023,5.418,3.4,0.06,1,17.378490566037733
Antigua and Barbuda,2024,8.309,3.4,0.06,2,25.14293342826628
Argentina,2022,6451.937,3.1,0.06,0,20001.0047
Argentina,2023,7055.867,3.1,0.06,1,20635.082735849057
Argentina,2024,5194.517,3.1,0.06,2,14331.61507653969
Armenia,2022,11.171,2.7,0.075,0,30.1617
Armenia,2023,16.122,2.7,0.075,1,40.49246511627907
Armenia,2024,2.235,2.7,0.075,2,5.221849648458627
Australia,2022,28910.969,3.6,0.06,0,104079.4884
Australia,2023,22823.692000000003,3.6,0.06,1,77514.42566037737
Australia,2024,27240.924,3.6,0.06,2,87279.57137771448
Austria,2022,89213.635,4.3,0.05,0,383618.63049999997
Austria,2023,88299.15299999999,4.3,0.05,1,361606.0551428571
Austria,2024,94881.146,4.3,0.05,2,370057.9843990929
"Bahamas, The",2022,2.487,3.0,0.06,0,7.461
Bahrain,2022,0.342,4.1,0.05,0,1.4022
Bahrain,2023,16.373,4.1,0.05,1,63.93266666666666
Bahrain,2024,10.944,4.1,0.05,2,40.69877551020408
Bangladesh,2022,3418.736,3.0,0.06,0,10256.207999999999
Bangladesh,2023,2571.777,3.0,0.06,1,7278.6141509433955
Bangladesh,2024,2241.723,3.0,0.06,2,5985.376468494125
Belarus,2022,254.825,3.1,0.06,0,789.9575
Belarus,2023,61.561,3.1,0.06,1,180.03688679245283
Belarus,2024,219.71800000000002,3.1,0.06,2,606.1995372018512
Belgium,2022,36806.209,4.2,0.05,0,154586.07780000003
Belgium,2023,32427.125,4.2,0.05,1,129708.50000000001
Belgium,2024,41480.952,4.2,0.05,2,158022.67428571428
Benin,2022,12.169,2.7,0.075,0,32.856300000000005
Bhutan,2024,1.91,2.6,0.075,2,4.29724175229854
Bolivia,2023,8.318,2.4,0.075,1,18.57041860465116
Bolivia,2024,2.749,2.4,0.075,2,5.709118442401299
Bosnia and Herzegovina,2022,448.862,3.2,0.06,0,1436.3584
Bosnia and Herzegovina,2023,462.707,3.2,0.06,1,1396.851320754717
Bosnia and Herzegovina,2024,524.167,3.2,0.06,2,1492.8216447134212
Botswana,2023,1.076,3.3,0.06,1,3.349811320754717
Brazil,2022,67978.905,3.5,0.06,0,237926.16749999998
Brazil,2023,44295.829,3.5,0.06,1,146259.81273584903
Brazil,2024,43028.761,3.5,0.06,2,134034.05437878246
Bulgaria,2022,1036.484,3.5,0.06,0,3627.6939999999995
Bulgaria,2023,1134.309,3.5,0.06,1,3745.359905660377
Bulgaria,2024,1456.292,3.5,0.06,2,4536.331434674261
Cambodia,2022,133093.029,2.7,0.075,0,359351.1783
